2026-04-03 17:30:39 | INFO     | root | last_best_loss: 100000000.000   now_loss: 1.504
2026-04-03 17:30:39 | INFO     | root | 最优参数更新
2026-04-03 17:30:39 | INFO     | root | Episode 1 angles_error: [ 133.15   148.858 -145.486  249.373   79.535  336.881]  angles_error_l2: 493.006
2026-04-03 17:30:41 | INFO     | root | last_best_loss: 1.504   now_loss: 1.422
2026-04-03 17:30:41 | INFO     | root | 最优参数更新
2026-04-03 17:30:41 | INFO     | root | Episode 2 angles_error: [  96.633  148.79  -222.096  249.099   79.971  331.569]  angles_error_l2: 509.104
2026-04-03 17:30:42 | INFO     | root | last_best_loss: 1.422   now_loss: 1.295
2026-04-03 17:30:42 | INFO     | root | 最优参数更新
2026-04-03 17:30:42 | INFO     | root | Episode 3 angles_error: [ 201.945  148.307 -177.787  249.373   78.803  333.98 ]  angles_error_l2: 523.760
2026-04-03 17:30:43 | INFO     | root | last_best_loss: 1.295   now_loss: 1.104
2026-04-03 17:30:43 | INFO     | root | 最优参数更新
2026-04-03 17:30:43 | INFO     | root | Episode 4 angles_error: [-31.561 126.853 -85.35    2.797  79.716 243.854]  angles_error_l2: 300.332
2026-04-03 17:30:45 | INFO     | root | last_best_loss: 1.104   now_loss: 1.021
2026-04-03 17:30:45 | INFO     | root | 最优参数更新
2026-04-03 17:30:45 | INFO     | root | Episode 5 angles_error: [ 100.689 -200.24    88.296  -98.813   77.502  337.196]  angles_error_l2: 433.015
2026-04-03 17:30:46 | INFO     | root | last_best_loss: 1.021   now_loss: 0.920
2026-04-03 17:30:46 | INFO     | root | 最优参数更新
2026-04-03 17:30:46 | INFO     | root | Episode 6 angles_error: [ 187.019 -198.012  120.476  -99.546   79.895  337.196]  angles_error_l2: 467.647
2026-04-03 17:30:48 | INFO     | root | last_best_loss: 0.920   now_loss: 0.822
2026-04-03 17:30:48 | INFO     | root | 最优参数更新
2026-04-03 17:30:48 | INFO     | root | Episode 7 angles_error: [  -6.409 -200.388   53.191 -100.618   79.886  216.842]  angles_error_l2: 326.423
2026-04-03 17:30:49 | INFO     | root | last_best_loss: 0.822   now_loss: 0.739
2026-04-03 17:30:49 | INFO     | root | 最优参数更新
2026-04-03 17:30:49 | INFO     | root | Episode 8 angles_error: [ -29.85   -40.462   39.513 -100.275   77.344  226.757]  angles_error_l2: 267.480
2026-04-03 17:30:51 | INFO     | root | last_best_loss: 0.739   now_loss: 0.679
2026-04-03 17:30:51 | INFO     | root | 最优参数更新
2026-04-03 17:30:51 | INFO     | root | Episode 9 angles_error: [ -47.068 -195.415 -153.742  -85.524   79.01    -8.537]  angles_error_l2: 278.692
2026-04-03 17:30:52 | INFO     | root | last_best_loss: 0.679   now_loss: 0.623
2026-04-03 17:30:52 | INFO     | root | 最优参数更新
2026-04-03 17:30:52 | INFO     | root | 输出奖励成功！共输出10个数据，奖励数据保存至/home/kemove/account/YZM_25/Reinforce-Learning-Trajectory-Planning/log/data/reward/26_04_02_01/reward.txt
2026-04-03 17:30:52 | INFO     | root | Episode 10 angles_error: [ -39.477 -200.172  -73.456 -100.627   79.971   16.19 ]  angles_error_l2: 252.599
2026-04-03 17:30:53 | INFO     | root | last_best_loss: 0.623   now_loss: 0.574
2026-04-03 17:30:53 | INFO     | root | 最优参数更新
2026-04-03 17:30:53 | INFO     | root | Episode 11 angles_error: [-31.712 -35.272 -70.481 -97.725  79.532 -54.266]  angles_error_l2: 161.362
2026-04-03 17:30:55 | INFO     | root | last_best_loss: 0.574   now_loss: 0.533
2026-04-03 17:30:55 | INFO     | root | 最优参数更新
2026-04-03 17:30:55 | INFO     | root | Episode 12 angles_error: [  58.176  149.015  -34.664  -99.944   77.673 -192.986]  angles_error_l2: 282.943
2026-04-03 17:30:56 | INFO     | root | last_best_loss: 0.533   now_loss: 0.498
2026-04-03 17:30:56 | INFO     | root | 最优参数更新
2026-04-03 17:30:56 | INFO     | root | Episode 13 angles_error: [ 173.928 -197.81    18.36    -0.47    79.507   36.942]  angles_error_l2: 278.214
2026-04-03 17:30:58 | INFO     | root | last_best_loss: 0.498   now_loss: 0.465
2026-04-03 17:30:58 | INFO     | root | 最优参数更新
2026-04-03 17:30:58 | INFO     | root | Episode 14 angles_error: [ 20.768  -3.525   7.434 -86.304  79.891 -69.011]  angles_error_l2: 138.175
2026-04-03 17:30:59 | INFO     | root | last_best_loss: 0.465   now_loss: 0.435
2026-04-03 17:30:59 | INFO     | root | 最优参数更新
2026-04-03 17:30:59 | INFO     | root | Episode 15 angles_error: [-43.495  34.679  88.92  -69.011  78.339 110.674]  angles_error_l2: 184.796
2026-04-03 17:31:01 | INFO     | root | last_best_loss: 0.435   now_loss: 0.411
2026-04-03 17:31:01 | INFO     | root | 最优参数更新
2026-04-03 17:31:01 | INFO     | root | Episode 16 angles_error: [-313.088   57.538  123.479 -100.627   79.314  -38.955]  angles_error_l2: 366.764
2026-04-03 17:31:02 | INFO     | root | last_best_loss: 0.411   now_loss: 0.390
2026-04-03 17:31:02 | INFO     | root | 最优参数更新
2026-04-03 17:31:02 | INFO     | root | Episode 17 angles_error: [-257.266  -38.595    6.359 -100.627   79.479 -200.135]  angles_error_l2: 352.438
2026-04-03 17:31:03 | INFO     | root | last_best_loss: 0.390   now_loss: 0.373
2026-04-03 17:31:03 | INFO     | root | 最优参数更新
2026-04-03 17:31:03 | INFO     | root | Episode 18 angles_error: [-128.452   -1.421   49.272  -99.114   79.971  -84.449]  angles_error_l2: 205.621
2026-04-03 17:31:05 | INFO     | root | last_best_loss: 0.373   now_loss: 0.356
2026-04-03 17:31:05 | INFO     | root | 最优参数更新
2026-04-03 17:31:05 | INFO     | root | Episode 19 angles_error: [-180.598 -128.882   39.515 -100.627   79.971 -228.548]  angles_error_l2: 345.750
